Ludwigsburg;Ludwigsburg;7402;de:08118:7402;8118048;Ludwigsburg;Ludwigsburg;LB;34,2;"Bus;Nachtbus;R-Bahn;S-Bahn";S4,S5,IRE1,RE8,RE12,RB17,RB18,413,421,421A,422,422A,423,424,425,425A,426,427,427A,429,430,430A,431,433,433A,443,444,508,532,533,534,535,X43,N41,N42,N43,N53;10004_,10005_,11001_,11008_,11012_,11017_,11018_,31413_,31421_,31421a,31422_,31422a,31423_,31424_,31425_,31425a,31426_,31427_,31427a,31429_,31430_,31430a,31431_,31433_,31433a,31443_,31444_,31508_,31532_,31533_,31534_,31535_,31X43_,34041_,34042_,34043_,34053_;37;10,11,31,34;9,185229823;48,89208622
Asperg;Asperg;7400;de:08118:7400;8118003;Asperg;Asperg;LB;34,36,45,46,2,3;"Bus;R-Bahn;S-Bahn";S5,IRE1,RE8,RE12,RB17,RB18,433,531,532,536A;10005_,11001_,11008_,11012_,11017_,11018_,31433_,31531_,31532_,31536a;10;10,11,31;9,147977466;48,90725609
Tamm;Tamm;7404;de:08118:7404;8118071;Tamm;Tamm;LB;45,3;"Bus;R-Bahn;S-Bahn";S5,IRE1,RE8,RE12,RB17,RB18,536,536A,541,542;10005_,11001_,11008_,11012_,11017_,11018_,31536_,31536a,31541_,31542_;10;10,11,31;9,125288012;48,92187736
Bietigheim;Bietigheim;1400;de:08118:1400;8118079;Bietigheim-Bissingen;Bietigheim;LB;45,3;"Bus;Nachtbus;R-Bahn;S-Bahn";S5,IRE1,RE8,RE12,RB17,RB18,542,544,551,551A,554,554A,556,558,559,561,564,566,567,567A,572,N52,N56,N57,N58;10005_,11001_,11008_,11012_,11017_,11018_,31542_,31544_,31551_,31551a,31554_,31554a,31556_,31558_,31559_,31561_,31564_,31566_,31567_,31567a,31572_,34052_,34056_,34057_,34058_;25;10,11,31,34;9,137217396;48,94794988
Höfingen;Höfingen;1003;de:08115:1003;8115028;Leonberg;Höfingen;BB;36,46,2,3;S-Bahn;S6,S60,S62;10006_,10060_,10062_;3;10;9,026180834;48,81503436
Neuwirtsh. (Porschep.);Neuwirtsh. (Porschep.);1403;de:08111:1403;8111000;Stuttgart;Stuttgart;S;20,1;S-Bahn;S6,S60,S62;10006_,10060_,10062_;3;10;9,151955614;48,83384734
Renningen;Renningen;7302;de:08115:7302;8115041;Renningen;Renningen;BB;56,4;"Bus;S-Bahn";S6,S60,S62,747;10006_,10060_,10062_,31747_;4;10,31;8,932650148;48,77515509
Weilimdorf;Weilimdorf;2270;de:08111:2270;8111000;Stuttgart;Stuttgart;S;20,36,1,2;"Bus;S-Bahn;SEV-Bus";S6,S60,S62,90,S6E;10006_,10060_,10062_,30090_,31006e;5;10,30,31;9,094370086;48,82208429
Korntal;Korntal;7603;de:08118:7603;8118080;Korntal-Münchingen;Korntal;LB;1,2,20,36;"Bus;R-Bahn;S-Bahn;SEV-Bus";S6,S60,S62,RB47,90,S6E,612;10006_,10060_,10062_,12047_,30090_,31006e,31612_;7;10,12,30,31;9,121099128;48,82640246
Ditzingen;Ditzingen;7000;de:08118:7000;8118011;Ditzingen;Ditzingen;LB;36,46,2,3;"Bus;Nachtbus;S-Bahn;SEV-Bus";S6,S60,S62,S6E,535,620,623,623A,624,625,626,638,N65;10006_,10060_,10062_,31006e,31535_,31620_,31623_,31623a,31624_,31625_,31626_,31638_,34065_;13;10,31,34;9,067095186;48,82358726
Rutesheim;Rutesheim;1302;de:08115:1302;8115028;Leonberg;Leonberg;BB;46,56,3,4;"Bus;Ruftaxi;S-Bahn;SEV-Bus";S6,S60,S62,S6E,655,655A,RT655;10006_,10060_,10062_,31006e,31655_,31655a,50655_;7;10,31,50;8,960325242;48,79031093
Leonberg;Leonberg;7301;de:08115:7301;8115028;Leonberg;Leonberg;BB;46,3;"Bus;Nachtbus;Ruftaxi;S-Bahn;SEV-Bus";S6,S60,S62,X2,92,S6E,631,632,632A,634,635,640,641,642,643,651,652,653,653A,N62,X60,RT653,RT644;10006_,10060_,10062_,30032_,30092_,31006e,31631_,31632_,31632a,31634_,31635_,31640_,31641_,31642_,31643_,31651_,31652_,31653_,31653a,34062_,35X60_,50653_,51644_;23;10,30,31,34,35,50,51;9,004025993;48,79970547
Malmsheim;Malmsheim;1301;de:08115:1301;8115041;Renningen;Malmsheim;BB;56,4;S-Bahn;S6,S62;10006_,10062_;2;10;8,905105557;48,77183564
Weil der Stadt;Weil der Stadt;1303;de:08115:1303;8115050;Weil der Stadt;Weil der Stadt;BB;56,4;"Bus;Ruftaxi;S-Bahn;SEV-Bus";S6,S62,S6E,663,665,666,670,749,766,X74,RT663,RT670,RT766,670.2,880;10006_,10062_,31006e,31663_,31665_,31666_,31670_,31749_,31766_,31X74_,50663_,50670_,50766_,76670_,76880_;15;10,31,50,76;8,873189074;48,7557357
Süd;Renningen Süd;3195;de:08115:3195;8115041;Renningen;Renningen;BB;4,56;"Bus;S-Bahn";S60,637;10060_,31637_;2;10,31;8,932068278;48,76261937
Sindelfingen;Sindelfingen;3201;de:08115:3201;8115045;Sindelfingen;Sindelfingen;BB;3,47,48;"Bus;S-Bahn";S60,701,705,708,717A,763,766;10060_,31701_,31705_,31708_,31717a,31763_,31766_;7;10,31;8,999262079;48,70387346
Nord;Maichingen Nord;3197;de:08115:3197;8115045;Sindelfingen;Maichingen;BB;3,47,48;"Bus;S-Bahn";S60,704,704A,745;10060_,31704_,31704a,31745_;4;10,31;8,979416996;48,72750392
Maichingen;Maichingen;3198;de:08115:3198;8115045;Sindelfingen;Maichingen;BB;3,47,48;"Bus;S-Bahn";S60,704A,715,718,745,748,749;10060_,31704a,31715_,31718_,31745_,31748_,31749_;7;10,31;8,969606704;48,72162074
Magstadt;Magstadt;3196;de:08115:3196;8115029;Magstadt;Magstadt;BB;3,4,46,47,56;"Bus;S-Bahn";S60,745;10060_,31745_;2;10,31;8,965315746;48,73616033
